source,target
the goal of this proposal is to develop peanut oit for patients with peanut allergic reactions  EOS this approach is designed to utilize our extensive knowledge of the allergens involved in peanut hypersensitivity to devise an immunotherapeutic approach that would lower the risk of anaphylactic reactions and would down regulate peanut specific t cells in peanut allergic patients  EOS previous attempts to utilize peanut specific immunotherapy it have been unsuccessful primarily because of the side effects of therapy  EOS,this is a study to determine if peanut oral immunotherapy oit would desensitize or tolerize peanut allergic patients to peanuts in order prevent peanut allergic reactions  EOS
this is a randomized individuals will be assigned by chance to study treatments open label individuals will know the identity of study treatments period treatment crossover study in order to evaluate the relative bioavailability of new formulations of abiraterone acetate compared to the current commercial formulation  EOS approximately healthy adult males will participate  EOS the total study length is up to days  EOS this study will consist of a screening phase followed by an open label treatment phase consisting of single dose treatment periods separated by a washout period of at least days between dosing  EOS individuals will be randomly assigned to of treatment sequences  EOS a single dose of mg abiraterone acetate will be given in each treatment period under fasted conditions  EOS participants will be confined to the study center from day of each treatment period until completion of the hour blood sample collection on day of each treatment period  EOS a follow up visit will occur between to days after the last study procedure  EOS serial pharmacokinetic study of what the body does to a drug samples will be collected during the open label treatment phase as detailed in the protocol  EOS safety will be monitored throughout the study  EOS,the purpose of this study is to evaluate the relative bioavailability of new formulations of abiraterone acetate compared to the current commercial formulation  EOS
this research study involves visits for the breast cancer subjects and visits for the healthy controls  EOS the first visit includes the informed consent and a screening and the second and third visit for the study days before chemotherapy and the fourth and fifth visit for the study days after chemotherapy  EOS for the first test day hours of the subjects time will be for urine and blood sample collection and to ingest the deuterated water  EOS subjects are allowed to go home after and eat normally  EOS on the second study day subjects will arrive early that morning and a dxa scan will be performed first  EOS for the duration of the study subjects have to lie in the bed except for bathroom privileges  EOS they can watch tv or bring and use a book tablet  EOS the research nurse or study staff will be present in the human subject area to assist the subject if necessary  EOS subjects are not allowed to eat or drink during the second test day except for the test drink meal and water  EOS one iv catheter will be placed in a vein of the arm hand for blood draws  EOS the hand will be placed in a hot box during blood collection  EOS another iv catheter will be placed in the contra lateral forearm for a primed and continuous infusion of h glycerol  EOS over the two day time period a total of ml of blood will be obtained over approximately samples  EOS stable isotopes will be ingested on the first test day added to the test drinks on the second test day after the second hour and infused on the second day  EOS on the second test day subjects will fill out questionnaires and perform muscle function tests  EOS after completion of the study we will provide the subject with a meal  EOS,following chemotherapy breast cancer patients primarily gain fat mass and lose muscle mass  EOS both depletion of muscle and an increase of fat mass in breast cancer patients are related to short survival and decreased skeletal muscle mass and function may result in fatigue and inactivity which contributes to fat mass changes and can be responsible for chemo toxicity and increased mortality  EOS the purpose of this study is to provide detailed insight in chemotherapy related changes in lipid metabolism and gut digestion and absorption of fat in breast cancer patients compared to matched healthy controls  EOS this will provide required information that is necessary to implement new strategies to develop optimal nutritional regimen in breast cancer patients  EOS the hypothesis is that chemotherapy in breast cancer is related to altered gut function and absorption and to increases in fat synthesis that lead to fat accumulation  EOS in addition we will examine the effect of cancer chemotherapy and gender by comparing fat digestion absorption and fat metabolism of the breast cancer before and after chemotherapy to aged matched healthy female and male controls  EOS
the broad goal of our research is development of an effective complementary and alternative medicine cam approach to prevent mucositis or lessen its severity and complications  EOS oral mucositis om is a clinically challenging and debilitating side effect of conventional radiotherapy rt affecting almost all patients undergoing rt for head and neck cancer  EOS om includes inflammation of the oral mucosa with or without opportunistic microbial infection  EOS it ranges from mild erythema to severe ulceration accompanied by persistent pain leading to inability to tolerate or swallow food and fluids  EOS om frequently causes unwanted cancer treatment dose reductions or breaks in therapy  EOS despite use of pain medications severe om is associated with substantially increased use of costly health care resources  EOS presently there are no effective treatments for om  EOS the primary aim of the current proposal is to determine whether or not a mouthrinse containing an herbal extract with known anti inflammatory and anti microbial medicinal properties will reduce the severity of oral mucositis in cancer patients undergoing conventional radiotherapy to the head and neck  EOS because of the prominent inflammatory and microbial aspects of om we anticipate that the herbal mouthrinse will reduce the severity of the pain and secondary infections associated with om and will improve the quality of life in head and neck cancer patients undergoing rt  EOS therefore the specific aims of our phase ii double blind randomized controlled trial are to determine if the severity of oral mucositis is reduced in rt patients receiving the herbal mouthrinse compared to patients receiving the comparison mouthrinse and to determine the effects of the herbal mouthrinse on the microbial environment of the oral cavity and on quality of life  EOS findings from this study will provide evidence to support more in depth biological assessment of the anti inflammatory and anti microbial mechanisms by which the herbal extract reduces oral mucositis and additional study in other populations experiencing mucositis  EOS,this study involves adults receiving radiation therapy for head and neck cancer and will test whether or not the study mouthrinse may lessen oral mucositis  EOS
this way randomized double blind crossover study in subjects with mild to moderate atopic asthma is designed to compare the responses to allergen and methacholine challenges within the same subject after approximately weeks of treatment with axp mg or placebo  EOS a total of subjects with asthma with a dual early and late asthmatic response to an inhaled aeroallergen will be randomized to of treatment sequences placebo then axp or axp then placebo in a double blind fashion to receive either oral axp or matching placebo once daily for days  EOS the washout period between the treatment periods will be to days  EOS a post treatment follow up visit will occur days after completion of the second treatment period  EOS,this is the first study in human patients with asthma that the sponsor is conducting in order to evaluate if there are signals that the investigational medication axp may be a safe and effective treatment for asthma  EOS the results of this study may help the sponsor to design additional studies  EOS
  EOS purpose of the study  EOS the purpose of this study is to determine whether listening to music under three conditions when a music practitioner is playing background harp music when a cd is playing exactly the same background harp music or when no background music is being played will have an effect on the flow lipid fat or the sodium content of breast milk  EOS primary hypotheses a primiparous mother of a preterm infant listening to music while pumping her breasts will produce more milk than a similar mother who is not listening to music  EOS a mother listening to live music will produce more milk than a mother listening to recorded music  EOS exploratory hypothesis the milk of a mother listening to music while pumping her breasts will have higher lipid content and lower sodium content than a mother who is not listening to music  EOS primary objective this pilot study will investigate the feasibility of measuring the amount of breast milk produced by mothers who are pumping breast milk for their preterm infant under one of three conditions when a music practitioner is playing background harp music when a cd is playing exactly the same background harp music or when no background music is being played  EOS ii  EOS characteristics of the research population  EOS number of subjects  EOS there will be a total number of mothers participating in this study  EOS  EOS gender of subjects  EOS all subjects will be female  EOS men cannot express breast milk  EOS  EOS age of subjects  EOS mothers will be between the ages of and  EOS mothers under the age of are excluded because they are minors  EOS ages to are the typical ages that women give birth  EOS  EOS racial and ethnic origin  EOS the racial and ethnic distribution of the subjects are expected to reflect the general population of mothers between the ages of and who deliver preterm infants at strong memorial hospital  EOS  EOS inclusion criteria  EOS first time mothers between the ages of and who have had a vaginal or caesarean delivery and are feeling well  EOS first time mothers are used to avoid confounding variables due to previous positive or negative experiences from expressing milk  EOS their infant will have been born at less than  EOS weeks of gestation  EOS mothers will intend to breastfeed and are planning to pump milk on site in the nicu at least once day and will be recruited days postpartum  EOS mothers who smoke are taking medication that may interfere with breastfeeding and who have undergone prior breast surgery will not be excluded since they are their own control  EOS with regard to language mothers must be able to understand the directions and sign a consent form in english  EOS  EOS exclusion criteria  EOS mothers will not be recruited whose infant has a low likelihood of survival as determined by the attending physician  EOS mothers who have been diagnosed with mastitis will not be recruited for the study  EOS  EOS vulnerable subjects  EOS no vulnerable subjects will be included in this study  EOS iii  EOS methods and procedures  EOS methods and procedures  EOS after a mother has agreed to participate she will complete the informed consent process and then complete the baseline questionnaire pre session  EOS only one breast pumping session will be assessed on a given day  EOS all remaining breast pumping sessions on any given day conducted by the mother per her daily routine will not be a part of the study and no data will be collected at those times  EOS study session orientation the mother will arrive at the pumping room and get comfortably settled  EOS the mother will be asked to turn off all electronic equipment cell phone ipod  EOS reading material such as good housekeeping better homes and gardens and parents magazines will be available for her use if she wishes  EOS she will attach one or both breasts to the symphony breast pump by medela that is in standard usage in the nicu  EOS note mother will decide if she will pump one or both breasts at a time  EOS whatever condition she chooses will remain the same throughout all study sessions  EOS recorded music will be played for this session  EOS while the breast pump is being applied a third female person will enter the room and remain behind a privacy screen  EOS this third person will either be a research assistant physician or nurse who will be trained in patient confidentiality and the rights of research subjects  EOS when the breast pump is applied the third person will start the recorded music  EOS she will have no communication with the mother or the research assistant  EOS the mother will then pump her breast s into an cc volufeed container  EOS the research assistant will sit behind the mother facing away from the mother while the mother is pumping and will time the pumping for minutes  EOS the amount of milk produced during the minute period will be measured and recorded by the research assistant  EOS to ensure that the mother can meet her baby s needs a cc aliquot will only be taken if cc has been produced in minutes and if including the current pumping session there is sufficient milk for hours of infant feeding  EOS if the previous two conditions are met a lactation consultant or the mother s nurse will remove a cc aliquot at the end of the session  EOS the cc aliquot will be frozen for future analysis  EOS if the previous two conditions are not met a cc aliquot will not be taken and this will be noted on the data collection sheet  EOS the remaining milk will be combined with any additional milk the mother may produce during the remainder of the pumping session  EOS she will label and store the milk for later use by her infant according to her usual routine  EOS when the mother tells the research assistant that she has completed pumping the third person will quietly leave the room  EOS the mother will then be randomized to receive each of the three experimental conditions live music recorded music and no music in random order over the course of three pumping sessions  EOS she will then experience all three conditions again in random order a three block pattern randomized twice  EOS study sessions the mother will arrive at the pumping room and become comfortably settled  EOS the mother will be asked to turn off all electronic equipment cell phone ipod  EOS reading material such as good housekeeping better homes and gardens and parents magazines will be available for her use if she wishes  EOS she will attach one or both breasts to the symphony breast pump by medela that is in standard use in the nicu  EOS note mother will decide if she will pump one or both breasts at a time  EOS whatever condition she chooses will remain the same throughout all study sessions  EOS the mother will not be told whether live recorded or no music is played during her session  EOS while the breast pump is being applied a third female person will enter the room and remain behind a privacy screen  EOS if live music is played this third person will be the musician  EOS in order to provide the same conditions even when music is not played a third female will still enter the room and remain behind the privacy screen  EOS she will have no communication with the mother or the research assistant  EOS at that point either live music recorded music or no music will be played  EOS when music is played the same music will be played at each session  EOS the mother will pump her breast s into an cc volufeed container  EOS the research assistant will sit behind the mother facing away from the mother while the mother is pumping and will time the pumping for minutes  EOS the amount of milk produced during the minute period will be measured and recorded by the research assistant on a data collection sheet  EOS to ensure that the mother can meet her baby s needs a cc aliquot will be taken only if cc has been produced in minutes and if including the current pumping session there is sufficient milk for hours of infant feeding  EOS if the previous two conditions are met a lactation consultant or the mother s nurse will remove a cc aliquot at the end of the session  EOS the cc aliquot will be frozen for future analysis  EOS if the previous two conditions are not met a cc aliquot will not be taken and this will be noted on the data collection sheet  EOS the remaining milk will be combined with any additional milk the mother may produce during the remainder of the pumping session  EOS she will label and store the milk for later use by her infant according to her usual routine  EOS when the mother tells the research assistant that she has completed pumping the third person will stop playing turn off the player and or simply quietly leave the room  EOS assessments attached mothers will complete a pre session orientation questionnaire that will provide general demographic information as well as information about mother s reasons for and plans for the duration of breastfeeding  EOS the research assistant will complete a questionnaire with the mother s assistance as appropriate after each subsequent session  EOS assessments session inquire about the session as well as the mother s emotional state  EOS the mother will complete a final questionnaire after session regarding her experiences with live music recorded music and quiet while pumping her breasts  EOS the fat content and sodium content of all breast milk samples obtained during sessions will be measured  EOS  EOS data analysis and monitoring  EOS the mother will serve as her own control  EOS milk produced over minutes will be measured during each session and the amount of milk produced during the two sessions under identical conditions will be averaged  EOS the primary outcome will be the differences in the amount of milk produced by the mother under each of the three conditions  EOS we will use subjects with each subject being her own control  EOS this sample size will allow us to detect an effect size of  EOS assuming a paired t test and a bonferroni corrected p value of  EOS to account for two primary comparisons  EOS we will use factorial repeated measures anova condition live music recorded music no music as the main effect to be examined  EOS we will run contrasts to examine the two hypotheses  EOS since each mother will act as her own control we will be examining within subject differences  EOS thus infant age weight and medical condition will be internally controlled and will not be included in the analyses  EOS however variables such as the mother s emotional and physical condition and time since last pumping which could change day to day could be included in our modeling if there is significant within subject variance  EOS the sodium content of the milk will be measured using standard clinical laboratory procedures  EOS lipid fat content of milk will be measured using the creamatocrit  EOS  EOS data storage and confidentiality  EOS data will be entered into a password protected encrypted electronic database accessible only to study personnel  EOS all print paper forms will be kept in a locked filed in a locked office in a limited accessibility suite  EOS,a mother of a preterm infant listening to music while pumping her breasts will produce more milk than a similar mother who is not listening to music  EOS a mother listening to live music will produce more milk than a mother listening to recorded music
on the basis of the eligibility criteria patients is assigned by the enrolling physician to one of two strata  EOS the first stratum includes patients with moderate drug resistant hypertension defined by the joint national committee vii and esh esc guidelines as office bp mm hg and mm hg  EOS the second stratum includes patients with drug resistant hypertension defined by office bp mm hg  EOS,the purpose of this study is the comparative evaluation of systolic blood pressure sbp lowering atrial fibrillation af recurrence and clinical data in patients with paroxysmal persistent af and resistant non resistant hypertension undergoing af ablation alone or combined with percutaneous renal denervation  EOS
overweight and excessive gestational weight gain gwg is associated with increased risk of high birth weight furthermore there is increased risk of the child developing overweight diabetes and other metabolic diseases in childhood or adulthood  EOS the effect of reducing gestational weight gain while supplying optimized amount and sources of nutrients is not well investigated  EOS increased knowledge to the possibility and efficacy of preventing overweight and related diseases is necessary  EOS modification of protein source and increase in ratio of protein in relation to amount of carbohydrate and reduction of glycaemic index gi has in observational studies individually been linked to improved fetal body composition metabolism and weight control later in life and less weight gain and weight retention for the mother  EOS the overall aim of approach is to investigate how an optimal diet during pregnancy influences the programming of the offspring  EOS this study will increase the knowledge of the effect of a specific nutrient composition and weight retention during pregnancy on growth and development during the foetal stage and until nine years off age risk markers later metabolic diseases especially diabetes and metabolic syndrome  EOS approach will be a dietary intervention investigating differences in responds to a high protein especially marine and dairy protein and low gi diet versus a diet according to the nordic nutritional recommendations  EOS all visits and assessment will be performed by trained staff at copenhagen university hospital herlev  EOS subjects will be women with expected delivery at department of gynaecology and obstetrics and all examinations of gestational development and foetal growth will take place her assessment of the children will be performed at the department of paediatrics  EOS a total of obese body mass index bmi kg m pregnant women will be randomized to intervention or control and engage in the program from late first trimester or early second trimester to birth  EOS after birth the children will be included in a prospective cohort according to maternal randomization and examined six times from delivery until the age of nine years  EOS approach will increase the knowledge of the effect of a nutrient composition with high protein for carbohydrate ratio and weight retention during pregnancy on growth and development during the foetal stage and until nine years off age risk markers later metabolic diseases especially diabetes and metabolic syndrome  EOS plasma lipids markers of metabolic diseases epigenetics and vitamin d status will be assessed at baseline and several times during pregnancy and in both intervention and control group these data will increase the knowledge of the effect of supplementing with marine oils and vitamin d in pregnant women  EOS results from the intervention will be communicated to the general population and published in peer relieved journals  EOS,the nutrition research unit at copenhagen university hospital herlev will during the fall initiate a randomized and controlled intervention study engaging obese pregnant women  EOS the overall aim of approach is to investigate how an optimal diet during pregnancy influences the programming of the offspring  EOS the children will after birth be included in a prospective cohort according to maternal randomization and examined six times from delivery until the age of nine years  EOS
this study is a prospective double blind randomized study  EOS subjects will be randomized using a computer generated table of random numbers into groups  EOS the patients scheduled to undergo open liver resection will be randomly allocated to receive a continuous wound infusion of either  EOS ropivacaine ropivacaine group a or  EOS saline control group b  EOS the patients will be thereafter randomly assigned to receive through the catheter either  EOS ropivacaine study group ml bolus followed by an infusion of ml h during h or the same protocol with  EOS nacl control group thanks to a elastomeric pump ml set to deliver a ml h connected with the catheter  EOS in addition all patients will receive patient controlled intravenous morphine analgesia  EOS the primary endpoint the opioid related symptom distress scale sds will be performed at hours after surgery  EOS secondary endpoints will be pain intensity on a visual analog scale at rest and on coughing morphine consumption respiratory dysfunction transit recovery and side effects at hours days after surgery  EOS,intravenous morphine patient controlled analgesia is gold standard on post operative liver resection  EOS but opioids tend to be ineffective for pain that is associated with movement and have significant short term side effects including nausea vomiting sedation pruritus constipation urinary retention and respiratory depression which are factors that often hinder a patient s recovery  EOS prospective randomized trials has found continuous wound catheter analgesia as an accepted alternative to iv morphine pca  EOS the researchers will investigate whether ropivacaine administered through a wound catheter placed by the surgeon will reduce morbidity and provide a better recovery  EOS
advances in antiretroviral arv pharmacotherapy have translated to increased longevity and improved quality of life in people living with hiv hence elderly individuals comprise an increasing proportion of today s hiv population  EOS moreover hiv infection itself has become recognized as a condition characterized by a hypercoaguable state and premature immunologic aging  EOS potential interactions between arvs and anticoagulant medications are of particular concern considering that many elderly and even non elderly hiv patients will require short term or chronic anticoagulation to prevent and or treat systemic embolism  EOS dabigatran administered as dabigatran etexilate is an oral irreversible competitive direct thrombin inhibitor which has been shown to be superior to warfarin and non inferior to enoxaparin in preventing thromboembolism in patients with atrial fibrillation and undergoing orthopedic surgery respectively  EOS while dabigatran itself is not a substrate of permeability glycoprotein p gp its inactivepro drug dabigatran etexilate is a substrate of p gp  EOS co administration of dabigatran etexilate with p gp modulators has resulted in significant changes in dabigatran exposure  EOS the pharmacokinetic enhancers ritonavir and cobicistat as inhibitors of p gp are expected to increase plasma concentrations of dabigatran however neither agent has been studied in combination with dabigatran etexilate to date  EOS hence the purpose of this study is to determine whether the separate co administration of ritonavir or cobicistat with dabigatran etexilate increases the systemic exposure of dabigatran in healthy volunteers and if so whether adjusting the administration times of these medications can circumvent this interaction  EOS in this open label study healthy volunteers will be assigned to of groups  EOS group a will consist of subjects who will take days of ritonavir group b will consist of subjects who will take days of cobicistat  EOS all subjects will receive separated single doses of dabigatran etexilate  EOS pharmacokinetic pk and pharmacodynamics pd sampling for dabigatran will occur on days day and day  EOS the pd effects of dabigatran will be characterized via ecarin clotting time ect measurements  EOS dabigatran pk pd parameters will be determined using non compartmental methods with the winnonlin professional computer program version  EOS pharsight corporation mountain view ca  EOS the following pk pd parameters will be compared between the groups area under the curve from to hours auc maximum total dabigatran plasma concentration cmax area under the curve from to infinity hours auc time to maximum plasma concentration tmax terminal half life t omega apparent oral clearance cl f area under the effect curve from to hours auec and the maximum effect ratio over baseline ermax  EOS,background people who have the human immunodeficiency virus hiv often take several medications to control their disease  EOS they may also need to take medicine to prevent blood clots  EOS taking both kinds of medicine together can cause bleeding or other problems  EOS but this might not happen if the medications are taken at different times  EOS researchers will study two particular hiv drugs ritonavir and cobicistat and how they interact with blood clot medications  EOS objectives to understand how hiv medicine and blood clot medicine interact so doctors can choose what to prescribe for people who take both  EOS eligibility healthy adults between and years old who are not on any medications  EOS design participants will be screened with a physical exam and medical history  EOS blood samples will be collected  EOS urine samples will be collected from participants who might become pregnant  EOS participants will visit the national institutes of health times after the screening visit  EOS three visits will last about hours  EOS the other will last about hour  EOS participants will take a daily dose of either study medication for days  EOS they will keep a diary of medicine they take and any side effects  EOS treatment will be monitored with blood tests over about months  EOS when the study of one drug is completed the next drug study will begin with a different group of participants  EOS
lung cancer is the second most common cancer in the uk  EOS in suitable cases the best chance of cure is surgical resection  EOS studies suggest that lung resection is associated with right ventricular rv dysfunction predisposing to complications and post operative dyspnoea  EOS studies of rv function following lung resection have been hampered by the limitations of the techniques used  EOS in addition the mechanism of rv dysfunction has remained elusive  EOS in this prospective observational study the rv response to lung resection will be characterised by sequential assessment of right ventricular ejection fraction rvef measured using cardiovascular magnetic resonance cmr  EOS cmr is non invasive involves no ionising radiation and due to its high spatial resolution is the gold standard for assessing rv volumes  EOS comprehensive cmr and echocardiographic assessment of the pulmonary vascular rv axis will allow us to interpret peri operative changes in rvef in the context of rv contractility and loading indices  EOS in addition contemporaneous blood samples will be taken for measurement of biomarkers of myocardial and endothelial dysfunction and systemic inflammation  EOS with increased understanding of the mechanisms involved it may be possible to prevent rv dysfunction reducing complication rates hospital stay and costs and ameliorating long term dyspnoea  EOS,the purpose of this study is explore the impact of lung cancer surgery on the function of the right side of the heart  EOS
primary objectives i  EOS to determine the effect of levocarnitine on muscle spasm frequency compared to placebo median percentage comparison secondary objectives i  EOS to assess intensity of muscle spasms after levocarnitine compared to placebo  EOS ii  EOS to assess responses related to activities of daily living or psychosocial function after levocarnitine compared to placebo  EOS iii  EOS to assess the number of body locations affected by muscle spasms after levocarnitine or placebo  EOS iv  EOS to assess the frequency and severity of all adverse effects on levocarnitine versus placebo  EOS outline patients are randomized to of treatment arms  EOS arm i patients receive levocarnitine orally po twice daily bid during weeks  EOS washout is from weeks  EOS patients then cross over to placebo po twice daipy for weeks  EOS arm ii patients receive placebo po twice daily during weeks  EOS washout is from weeks  EOS patients then cross over to levocarnitine for weeks  EOS,this randomized clinical trial studies levocarnitine in treating patients with vismodegib associated muscle spasms  EOS levocarnitine may decrease muscle spasms caused by vismodegib  EOS
meningococcal disease is a potentially life threatening bacterial infection  EOS the disease most commonly is expressed as either meningococcal meningitis an inflammation of the membranes surrounding the brain and spinal cord or meningococcemia the presence of bacteria in the blood  EOS the most common symptoms include high fever headache neck stiffness confusion nausea vomiting lethargy and rash  EOS if not treated the disease can progress rapidly and can lead to shock and death often within hours of the onset of symptoms  EOS the disease is fatal at a rate of  EOS of patients who recover have permanent hearing loss or other serious sequelae  EOS neisseria meningitidis capsular polysaccharides are poor immunogens  EOS however conjugation of bacterial polysaccharides to immunogenic carrier proteins generally results in conjugates that induce strong anti polysaccharide t helper cell dependent immune responses creating a longer lasting immune response and thus protection against meningococcal infection  EOS the sponsor s small size phase clinical trial comprised subjects  EOS therefore additional data is needed to confirm the previous data with a statistically powered phase clinical trial  EOS the present study aims to evaluate subject responses to single doses administered in adult subjects to determine further safety and immunogenicity of the vaccine  EOS this study compares safety and antibody production induced by one intramuscular injection of either nmvac a c y w dt or a licensed meningococcal groups a c y w polysaccharide diphtheria toxoid conjugate vaccine  EOS the primary immunogenicity endpoint will be seroresponse based on antibody titer for subjects with titer at baseline or a fold rise in antibody levels weeks after a single injection  EOS the number and proportion of subjects achieving seroresponse will be tabulated by serogroup for each vaccine group  EOS a non inferiority test will be used to determine if the immune response elicited by nmvac a c y w dt is not less than a specified difference in percent seroconversion from the licensed control vaccine  EOS participants will attend a screening visit up to weeks prior to vaccination day then will attend study visits for weeks  EOS there will be a study phone call at days then a post study call to subjects to assess safety at weeks  EOS,the purpose of this study is to evaluate the production of antibodies to a new conjugate vaccine nmvac a c y w dt as a measure of vaccine effectiveness compared to the production of antibodies to a similar licensed meningococcal groups a c y w polysaccharide diphtheria toxoid dt conjugate vaccine  EOS the investigators will also evaluate the safety of nmvac a c y w dt conjugate vaccine compared to the licensed vaccine  EOS the hypothesis is that the test vaccine is comparable to the licensed active control vaccine  EOS
mothers were randomly divided into three groups g g and placebo gp appliance off and evaluated by nrs numeric rating scale before immediately after application of tens and every minutes until he was one hour after the application of electroanalgesia to verify its effectiveness over time  EOS,the aim of the study was to evaluate the analgesic effect of transcutaneous electrical nerve stimulation high hz and low hz frequency in postpartum pain after cesarean section  EOS
atezolizumab a humanized monoclonal antibody that targets human programmed death ligand pd l has shown activity in tnbc  EOS early clinical trials with anti pd l monotherapy have shown that the median duration to response in tnbc is remarkably long weeks compared to cytotoxic chemotherapy  EOS since advanced tnbc is characterized by rapid disease progression most patients with tnbc may not have the opportunity to derive benefit from immunotherapy  EOS we hypothesize that by combining atezolizumab with paclitaxel or carboplatin cyclophosphamide the desired rapid tumor control will be obtained with chemotherapy and subsequently atezolizumab can result in durable responses in a significant subset of patients  EOS it is unknown whether addition of atezolizumab to first line chemotherapy in tnbc is more beneficial than adding this antibody to a second line treatment schedule  EOS because of this and because of the poor outcome of patients with advanced tnbc experiencing disease progression after first line palliative chemotherapy patients who were randomized to a chemotherapy only arm in this study will be offered the opportunity to cross over to the other chemotherapy regimen plus atezolizumab at disease progression  EOS,triple negative breast cancer tnbc is a difficult to treat molecular subtype with a poor survival  EOS tnbc can be divided into at least two molecular entities brca like and non brca like  EOS in this trial we would like to investigate whether a molecular subgroup exists within tnbcs that derives a benefit from atezolizumab added to first line chemotherapy  EOS
specific aim determine whether a change in macronutrient composition from carbohydrate and fat to carbohydrate and fat is responsible by itself for suppression of hunger and increased secretory response of glucose dependent insulinotropic hormone gip and glucagon like peptide glp or whether these changes depend on preceding exercise  EOS we will measure a concentrations of plasma gip and glp by chemiluminescent multiplex assay b concentrations of plasma ancetaminophen to assess the gastric emptying rate c concentrations of plasma insulin and glucagon by radioimmunoassay and glucose ketone bodies and free fatty acids with appropriate spectrophotometric methods d hourly appetite responses with visual analog scale under two conditions sedentary sed and exercise ex  EOS hypothesis hunger suppression and secretion of gip and glp after the morning meal will be greater with slower gastric emptying rate when a meal consisting of fat and carbohydrate follows three hours after a hour bout of moderate intensity exercise than in the absence of exercise  EOS,determine whether the mid day suppression of hunger and amplified increase in the release of glucose dependent insulinotropic peptide gip and glucagon like peptide glp following morning exercise is due to increased fat content of the diet per se or a combination of high fat diet after morning exercise  EOS the action of gut peptides particularly glp on gastric emptying is likely to be important in mediating its effects on postprandial appetite and glycemia nauck et al  EOS  EOS our hypothesis is that exercise amplifies gut peptide secretion when diet is enriched with fat and that this stimulus suppresses the hunger sensation  EOS
